MSA,"    Car, truck, or van:",    Public transportation (excluding taxicab):,    Bicycle,    Walked,"    Taxicab, motorcycle, or other means",    Worked from home,Median Household Income,Household Number,Employment Rate,Unemployment Rate,    Total population,Total housing units,        No vehicles available,        1 vehicle available,        2 vehicles available,        3 or more vehicles available,"        Agriculture, forestry, fishing and hunting, and mining",        Construction,        Manufacturing,        Wholesale trade,        Retail trade,"        Transportation and warehousing, and utilities",        Information,"        Finance and insurance, and real estate and rental and leasing","        Professional, scientific, and management, and administrative and waste management services","        Educational services, and health care and social assistance","        Arts, entertainment, and recreation, and accommodation and food services","        Other services, except public administration",        Public administration
"Columbus, OH",87.11717665341787,1.478539419782547,0.27652981741795046,2.1833857381460695,0.9628075013474162,7.981560869888151,"66,715","805,628",0.645,0.044000000000000004,"2,101,543","869,406","49,086","268,291","319,890","168,361","6,324","53,929","95,886","29,889","122,825","65,431","20,510","102,133","125,039","263,171","92,142","43,326","49,742"
"Corpus Christi, TX",92.37627593708166,1.262863955823293,0.1709964859437751,1.415035140562249,1.0233642904953146,3.7514641900937082,"56,714","153,904",0.574,0.057,"429,120","178,785","10,524","54,722","57,770","30,888","5,242","21,323","12,041","4,066","22,224","9,692","2,138","10,655","16,861","45,062","21,223","10,413","11,080"
"Corvallis, OR",71.90281017187111,2.146690518783542,7.370757002785264,7.907429632481149,1.3111116143203279,9.36120105975861,"65,142","36,051",0.57,0.061,"92,168","38,713","2,445","10,589","13,584","9,433","1,481","2,236","4,154",789,"3,942","1,001",671,"1,496","4,686","16,130","4,950","1,834","1,793"
"Crestview-Fort Walton Beach-Destin, FL",88.91776723382392,0.4215902565807368,0.7003838133518692,1.5224092598748828,1.4007676267037383,7.037081809664842,"65,075","107,870",0.551,0.044000000000000004,"278,479","151,439","4,695","33,997","45,918","23,260",742,"10,261","5,588","2,367","13,461","6,313","1,139","9,333","17,668","20,865","18,078","5,581","12,328"
"Cumberland, MD-WV",91.01944915807336,0.6630988121655137,0.02349562720271505,3.615715963973372,0.6082756820258453,4.069964756559196,"50,188","38,179",0.473,0.07400000000000001,"98,049","45,951","3,065","12,681","13,543","8,890",371,"2,592","4,305",704,"4,826","2,429",631,"1,792","2,653","10,501","3,680","1,955","2,609"
"Dallas-Fort Worth-Arlington, TX",87.88439739541002,1.1762168748424697,0.14454369130945208,1.2470060828578784,1.1649757858316452,8.38286016974853,"72,882","2,615,579",0.657,0.046,"7,451,858","2,821,032","120,161","823,938","1,075,071","596,409","35,767","307,700","338,835","118,415","426,379","254,289","81,581","339,159","504,516","739,925","331,315","186,626","105,693"
"Dalton, GA",95.70402766792289,0.04187409854371191,0.049628561236991886,0.6296623706943346,0.8188712604103662,2.7559360411917058,"50,322","50,932",0.583,0.061,"143,911","56,425","2,748","14,914","19,409","13,861",888,"3,916","24,725","1,531","5,829","2,750",609,"1,600","4,388","9,923","4,460","2,969","1,587"
"Danville, IL",90.62791670689711,0.8754143735315889,0.08689775031379744,2.0372694795790287,0.5600077242444723,5.812493965434006,"46,842","31,013",0.519,0.057999999999999996,"76,704","36,035","2,921","11,312","11,072","5,708",816,"1,759","5,048","1,059","3,941","1,977",210,"1,820","1,952","7,404","2,370","1,715","1,285"
"Daphne-Fairhope-Foley, AL",90.96067890172816,0.030896619909781868,0.12152670497847534,1.1936394158479062,1.257492430328122,6.435765927207564,"61,756","84,047",0.5579999999999999,0.039,"218,289","116,747","2,627","26,347","35,944","19,129","1,776","7,922","9,608","2,700","13,434","5,085","1,090","7,504","10,573","19,056","9,793","4,970","5,257"
"Davenport-Moline-Rock Island, IA-IL",91.58710584611607,0.8107670760491705,0.22598807006188165,2.239234876934151,0.7014000100439143,4.435504120794809,"59,876","154,517",0.601,0.047,"380,274","170,444","10,400","50,430","62,079","31,608","2,822","12,687","29,482","4,609","21,496","10,983","2,371","10,420","14,483","40,281","16,301","8,230","7,978"
"Dayton-Kettering, OH",89.60377509825415,1.5923856375157073,0.19677565970644068,2.621180119241772,0.6871106595727616,5.298772825709168,"57,631","334,252",0.5820000000000001,0.057,"805,929","370,121","26,188","113,413","123,243","71,408","1,858","18,934","54,588","7,869","41,691","18,808","6,481","21,013","41,687","91,923","35,486","16,366","21,509"
"Decatur, AL",95.98823382150456,0.1502065339842283,0.01877581674802854,0.6978345224683941,0.6242959068719489,2.5206533984228314,"51,842","58,939",0.531,0.046,"152,321","67,581","2,711","17,050","21,262","17,916",806,"5,548","14,259","1,665","7,524","2,955",770,"2,360","5,588","12,620","5,384","3,057","2,172"
"Decatur, IL",92.20613475333363,1.1354134577300532,0.03960744619988558,1.7339259780838798,0.6381199665537121,4.246798398098842,"53,725","43,810",0.5489999999999999,0.077,"104,688","50,364","4,209","15,480","16,290","7,831",826,"2,326","8,603","1,079","4,994","2,894",647,"2,540","3,023","10,778","3,711","2,768","1,811"
"Deltona-Daytona Beach-Ormond Beach, FL",87.66515344107499,0.8360268748865082,0.6348284002179045,1.0887960777192665,1.5344107499546031,8.240784456146724,"53,339","264,426",0.502,0.046,"658,961","315,254","13,667","101,882","106,160","42,717","1,719","23,845","15,736","6,439","38,579","14,572","4,582","20,657","32,408","61,670","33,083","13,935","12,230"
"Denver-Aurora-Lakewood, CO",80.62977869120641,3.7825475129364157,0.7959111715357566,2.236911905314016,1.1092440178012701,11.445606701206128,"83,289","1,097,674",0.6809999999999999,0.040999999999999995,"2,928,437","1,156,748","58,947","336,256","436,590","265,881","20,410","126,360","104,113","42,359","163,823","83,811","53,802","133,573","249,111","319,672","156,164","76,266","68,067"
"Des Moines-West Des Moines, IA",89.07057085411506,0.9025471268453618,0.19300623174077736,1.7878764315785964,0.8800528753762927,7.165946480343913,"71,734","271,569",0.682,0.042,"690,585","291,476","14,601","80,572","111,196","65,200","6,047","23,108","32,379","11,725","41,079","16,894","7,108","56,472","37,012","77,368","26,639","17,365","12,814"
"Detroit-Warren-Dearborn, MI",89.85234541309566,1.324663952452606,0.22334391843266718,1.371214904356666,0.9996628201321544,6.228768991530243,"62,768","1,726,401",0.584,0.065,"4,317,384","1,910,964","147,299","610,479","638,703","329,920","6,821","103,215","394,544","48,674","211,375","94,053","29,414","130,740","235,947","440,305","182,260","88,409","65,659"
"Dothan, AL",95.04931127231234,0.037492868204417634,0.07824598581791507,0.7270356182247942,0.9976363191784172,3.110277936262124,"47,608","56,912",0.522,0.053,"148,825","69,902","3,692","18,612","20,880","13,728","1,301","3,803","6,706","2,389","8,299","5,288",719,"2,284","4,686","14,841","5,318","3,601","2,977"
"Dover, DE",90.70883966218484,0.8184181395290986,0.289804599559696,2.12067314270078,1.072152638714412,4.99011181731116,"60,117","67,299",0.56,0.062,"179,124","73,073","4,505","21,970","25,489","15,335",797,"6,170","6,411","1,466","10,703","4,651",885,"4,304","4,931","20,410","8,226","3,233","7,437"
"Dubuque, IA",88.91383215409593,0.8719007436210939,0.22248501733779638,3.0125673969252973,0.6293720310276403,6.349842656992243,"64,493","38,655",0.65,0.040999999999999995,"97,193","41,518","2,243","12,078","15,776","8,558",972,"2,878","7,997","1,603","6,606","1,965",928,"3,583","3,651","12,273","4,293","2,473","1,257"
"Duluth, MN-WI",87.81298071020532,1.4812193519033416,0.5098687773982248,4.077505831714415,0.7286934793127604,5.389731849465938,"58,729","124,208",0.588,0.047,"289,276","152,311","9,552","37,809","46,107","30,740","3,811","9,277","11,433","3,072","15,513","8,061","1,814","8,258","10,697","41,552","14,192","6,222","6,977"
"Durham-Chapel Hill, NC",82.01361958792512,3.082004901501771,0.643523915001889,2.6709632839416084,1.3600214400340973,10.229866871595506,"64,745","250,974",0.607,0.046,"636,256","274,384","14,761","83,017","96,573","56,623","2,175","19,268","25,703","5,633","27,999","9,733","5,594","17,321","44,990","104,433","26,836","14,805","12,124"
"East Stroudsburg, PA",88.08545290293029,3.486315575178451,0.0,1.5408496939931036,1.3678062931813264,5.519575534716832,"68,734","59,950",0.5720000000000001,0.062,"168,824","81,648","2,905","17,277","23,463","16,305",478,"5,076","8,632","1,682","10,658","6,407","1,073","4,417","6,905","17,996","9,532","4,051","3,282"
"Eau Claire, WI",88.02483669182651,0.4835768529418554,0.6370749948064538,2.6348590817810402,0.7097846409528425,7.509867737691296,"62,031","67,646",0.6459999999999999,0.034,"168,307","73,045","3,722","19,732","26,930","17,262","1,973","4,964","13,157","2,011","12,758","4,992","1,442","5,315","5,738","23,043","6,628","3,646","2,863"
"El Centro, CA",88.53406274040516,0.743653303701171,0.4034532866056928,2.836139841012052,1.6291990768441746,5.853491751431746,"46,222","45,768",0.442,0.13699999999999998,"180,580","57,855","3,237","14,402","15,862","12,267","5,723","3,266","2,532","1,694","7,368","3,866",485,"1,995","4,314","15,205","5,347","2,033","5,662"
"Elizabethtown-Fort Knox, KY",92.39718147828589,0.28616623526028184,0.16393442622950818,1.7644521138912856,1.1691113028472822,4.219154443485763,"56,680","58,528",0.557,0.06,"152,275","65,903","2,679","17,586","21,779","16,484",620,"4,211","10,600","1,158","7,804","4,262","1,311","3,222","5,166","13,975","6,137","3,300","5,153"
"Elkhart-Goshen, IN",91.69887570592198,0.2891041914926688,1.1626340604113776,1.7802186415211647,1.0548676234392,4.014299777213616,"58,509","72,362",0.637,0.044000000000000004,"205,184","79,389","5,967","22,063","27,883","16,449","1,088","4,779","33,913","2,692","10,717","3,866",899,"3,190","5,497","18,734","7,101","4,588","1,673"
"Elmira, NY",90.21523725641309,1.4422547616426291,0.4293735549928438,3.217549267863041,1.0459099416492348,3.6496752174391722,"54,883","34,328",0.5479999999999999,0.059000000000000004,"84,115","38,983","3,429","12,878","12,227","5,794",472,"1,829","5,408",618,"4,809","1,834",575,"1,620","2,479","10,702","3,099","1,852","2,112"
"El Paso, TX",90.58021412338107,1.29322855343501,0.1388242381095808,1.4260288601078832,2.150817337969935,4.410886886996523,"48,193","274,789",0.5579999999999999,0.062,"841,602","300,662","19,021","86,427","101,611","67,730","3,888","25,125","23,612","9,239","42,005","24,539","6,362","16,331","37,683","94,598","34,556","14,481","23,752"
"Enid, OK",92.40115025161754,0.3666427030913012,0.5463695183321351,1.1250898634076203,1.588785046728972,3.9719626168224296,"55,435","23,709",0.573,0.051,"61,555","26,776","1,075","7,982","9,485","5,167","2,006","1,751","2,931",680,"3,480","1,640",164,858,"1,626","5,999","2,664","1,857","1,648"
"Erie, PA",89.24749393140267,1.4903345994725763,0.3233897047556835,3.197606432309938,1.1588803135509158,4.582295018508214,"52,863","110,388",0.569,0.054000000000000006,"272,046","121,613","11,699","40,802","40,289","17,598","1,116","6,383","19,948","2,748","13,434","5,462","1,287","8,206","8,641","35,137","13,168","6,328","3,740"
"Eugene-Springfield, OR",79.90935860863163,2.876253795895831,3.3035796447961716,4.37448237784117,1.0392702677831969,8.497055305051992,"54,942","154,516",0.5579999999999999,0.071,"377,749","163,617","12,321","51,510","55,769","34,916","4,103","10,505","17,582","5,232","21,977","6,743","2,221","9,213","18,473","47,517","17,780","8,591","6,860"
"Evansville, IN-KY",92.52729023972603,0.8922838184931506,0.11705372431506848,2.1317155393835616,1.0501391267123288,3.2815175513698627,"55,553","129,824",0.601,0.044000000000000004,"315,186","142,916","8,104","42,130","49,278","30,312","1,963","9,329","27,133","4,394","17,114","8,729","2,429","7,334","12,459","36,396","14,053","7,225","3,780"
"Fairbanks, AK",88.23178373217164,0.8135903403552744,0.5927870939507868,3.867040639732649,1.495892263929502,4.9989059298601575,"76,464","36,199",0.5770000000000001,0.071,"98,455","44,270","1,686","10,998","14,322","9,193","1,686","3,701",589,837,"4,592","3,523","1,088","1,950","3,236","11,919","3,945","2,108","5,129"
"Fargo, ND-MN",89.48411114578269,0.9259729610089912,0.45645532325599963,2.5377174331100645,1.2779297682890545,5.317813368553203,"65,995","101,722",0.722,0.031,"243,966","110,404","6,507","30,400","43,741","21,074","3,032","10,399","11,320","4,465","15,874","6,021","1,660","10,793","13,040","40,397","12,375","5,758","4,232"
"Farmington, NM",93.67045575268246,0.34208010198661426,0.07011579730160417,2.2798257728673113,0.526930840327207,3.1105917348348027,"47,643","43,582",0.498,0.08199999999999999,"125,608","51,299","2,343","13,583","16,239","11,417","5,552","3,483","1,582",900,"5,723","3,514",464,"1,558","2,868","12,509","4,716","2,302","2,822"
"Fayetteville, NC",89.85227589459917,0.4716879998284771,0.0990544799639802,3.872558478591797,1.498681417636843,4.205741729379731,"50,133","192,505",0.49700000000000005,0.075,"523,480","220,640","11,867","67,007","70,227","43,404","1,912","13,555","19,094","3,362","28,207","9,359","2,964","7,733","16,976","50,106","20,604","9,469","17,466"
"Fayetteville-Springdale-Rogers, AR",90.8256807633314,0.3629409772713691,0.41274078205613435,1.3991753152327642,0.535447501045796,6.464014661062528,"61,761","194,800",0.623,0.035,"526,101","211,669","7,967","58,320","81,006","47,507","3,333","19,261","34,646","6,963","43,431","13,821","2,463","11,021","24,586","54,816","21,220","11,705","6,532"
"Flagstaff, AZ",80.57761508872069,1.6472267030648964,1.5898374488149896,8.442424618439013,0.8515324481945651,6.891363692765852,"59,000","49,016",0.565,0.081,"142,254","66,807","2,566","15,391","18,024","13,035",876,"3,885","4,790",685,"7,701","2,634",607,"2,233","5,213","18,638","12,394","2,646","3,673"
"Flint, MI",92.1437463887681,1.4629584403052198,0.10364607842553268,1.1115148410462299,0.6909738561702178,4.4871603952846995,"50,269","170,581",0.525,0.08900000000000001,"406,770","192,583","14,662","62,457","60,897","32,565","1,014","10,053","29,800","3,573","22,962","7,687","1,979","8,131","14,277","42,822","15,705","8,228","4,832"
"Florence, SC",93.49563449900678,0.2448376218413637,0.1732341663971913,0.9678015429389755,0.7460618099505706,4.372430359865109,"45,037","78,997",0.537,0.059000000000000004,"205,095","92,248","6,785","25,795","27,500","18,917","1,156","4,764","13,396","2,182","11,635","4,624",787,"4,312","6,517","24,108","7,687","3,058","3,429"
"Florence-Muscle Shoals, AL",94.20548739403625,0.029771698083642804,0.09558282016327425,1.007536940409596,0.6988514392265627,3.962769708080666,"48,244","60,310",0.534,0.044000000000000004,"147,827","71,999","3,617","17,972","22,201","16,520",649,"4,930","10,201","1,628","8,630","3,993",872,"2,502","4,503","14,312","6,039","3,388","3,120"
"Fond du Lac, WI",91.20592986790838,0.16725268459564763,0.43903829706357506,2.6912477430390576,0.8685736006842155,4.627957806709113,"64,147","41,890",0.64,0.036000000000000004,"102,654","45,338","2,489","12,061","17,024","10,316","1,543","4,141","11,879","1,091","5,508","2,664","1,235","3,255","2,761","10,903","3,508","2,755","2,215"
"Fort Collins, CO",80.34269890437048,1.4037411205849195,2.6991232774755645,2.8041986362094065,1.0923459168372318,11.6578921445224,"76,366","134,185",0.638,0.051,"350,523","144,583","5,493","35,462","54,652","38,578","3,593","12,303","18,183","3,798","20,623","7,195","3,236","9,242","25,317","45,904","19,301","9,094","7,410"
"Fort Smith, AR-OK",93.53904769090035,0.19427181078302858,0.05186868734498336,1.424974301423088,1.358959608438564,3.4308779011099895,"46,424","98,199",0.545,0.051,"250,260","111,454","5,512","33,288","36,629","22,770","2,293","7,700","18,220","2,684","12,910","7,504",949,"4,821","8,730","24,243","8,971","4,633","3,683"
"Fort Wayne, IN",91.88715834788613,0.7614831661454737,0.318299963448808,1.2275108638265035,0.6249238516833854,5.180623807009707,"57,693","160,865",0.632,0.05,"409,419","174,335","8,900","55,652","61,366","34,947","1,164","11,355","38,622","6,090","23,258","9,808","3,596","12,603","16,030","47,126","17,016","9,156","4,824"
"Fresno, CA",90.24513730409419,0.942060745285918,0.40579140659241014,1.545584153228447,1.2277016236694023,5.633724767129636,"57,109","310,097",0.5529999999999999,0.08900000000000001,"990,204","333,357","24,446","97,891","113,706","74,054","36,163","24,099","27,511","13,965","43,380","23,462","5,129","18,509","37,345","100,999","33,497","19,527","25,039"
"Gadsden, AL",95.58924715875389,0.05457090658884381,0.01898118490046741,0.7521294516810212,0.5077466960875032,3.077324601988279,"44,934","38,765",0.517,0.057,"102,721","47,805","2,234","11,866","13,881","10,784",228,"2,970","7,502",938,"5,492","1,996",576,"1,303","2,420","10,338","4,350","2,760","2,129"
"Gainesville, FL",84.95137034817196,2.7168582793003866,1.7136163025118512,2.578597504495178,1.5140576472511305,6.525499918269492,"47,848","125,651",0.5479999999999999,0.051,"327,329","147,228","8,741","51,859","43,603","21,448","2,128","8,047","6,559","2,030","16,820","5,498","2,308","6,921","13,290","55,070","16,188","7,735","7,432"
"Gainesville, GA",91.24492213947191,0.4760494245091402,0.07616790792146243,1.1605027081922816,1.6354942450914016,5.406863574813812,"63,651","65,555",0.612,0.035,"201,434","74,544","3,640","17,389","25,780","18,746",987,"8,735","18,191","3,802","11,030","5,195","1,335","4,468","9,331","17,215","7,713","5,512","2,223"
"Gettysburg, PA",89.48922409464318,0.3715829433386225,0.31333480627473037,3.213690320766465,0.5061562255207183,6.106011609456283,"68,411","39,628",0.606,0.039,"102,627","42,525","1,726","10,252","15,671","11,979","1,519","4,134","8,022","1,372","5,490","2,462",512,"1,631","4,528","12,311","4,116","2,669","2,385"
"Glens Falls, NY",90.07515473032714,0.5645106440862409,0.5951166428620009,3.060599877576005,0.8654696320478814,4.839148473100727,"62,284","53,088",0.573,0.048,"125,491","69,681","4,770","17,230","20,775","10,313","1,280","4,502","6,368",982,"8,074","2,390",564,"2,799","4,949","15,646","6,058","2,605","4,186"
"Goldsboro, NC",94.59691252144083,0.39962045180832817,0.07299003685996862,1.6878946023867742,0.27371263822488234,2.9688697492792233,"47,221","48,198",0.542,0.054000000000000006,"123,785","54,507","3,670","13,991","17,192","13,345","2,220","3,289","7,348","1,458","7,042","2,310",535,"1,855","3,997","12,159","4,711","2,879","3,255"
"Grand Forks, ND-MN",89.1297074240678,0.944273021301907,0.806721439458716,3.773374474887542,0.6561582214952228,4.689765418788803,"55,122","43,398",0.659,0.037000000000000005,"101,627","48,287","2,488","15,214","16,098","9,598","2,467","3,450","4,057","1,452","6,723","2,500",576,"2,344","3,184","17,591","4,586","2,584","2,243"
"Grand Island, NE",94.35102816566798,0.27716917878731884,0.02903677111105245,1.3937650133305177,1.0347649341393237,2.91423593696381,"57,938","29,558",0.669,0.037000000000000005,"75,592","31,965","1,425","8,444","10,501","9,188","1,773","3,193","7,077","1,130","4,612","2,241",539,"2,094","2,212","8,076","2,471","1,811","1,321"
"Grand Junction, CO",85.26878484314315,0.460036974934434,1.140777046877911,3.128538056952864,1.8229502558149535,8.178912822276681,"57,157","59,750",0.5760000000000001,0.069,"152,962","64,244","3,140","18,829","21,906","15,875","3,486","7,045","3,947","1,717","8,960","3,777","1,054","3,402","6,956","17,402","6,758","3,476","3,293"
"Grand Rapids-Kentwood, MI",89.06422238872958,1.4253280226249698,0.4086315912031534,2.2281313555263855,0.6736036386239481,6.200083003291963,"66,297","396,595",0.644,0.044000000000000004,"1,069,696","421,432","23,997","117,336","165,859","89,403","8,483","30,738","110,900","20,501","56,196","21,314","7,632","29,147","51,238","123,913","44,502","26,111","11,913"
"Grants Pass, OR",86.09265354281811,0.3726013786251009,0.9159783891200398,3.089486431099795,1.450040365149351,8.079239893187605,"47,733","36,606",0.45299999999999996,0.075,"87,097","39,362","1,935","9,079","14,420","11,172","1,397","2,096","3,443",650,"3,914","1,144",476,"1,658","2,962","8,402","3,167","1,784","1,680"
"Great Falls, MT",90.52822371828069,0.7845675815639565,0.5541170378042465,2.4262040393578457,0.6784049715173485,5.028482651475919,"52,049","34,440",0.5710000000000001,0.037000000000000005,"81,576","39,012","2,286","11,316","12,488","8,350","1,352","2,549","1,496","1,177","5,226","2,055",650,"2,201","2,727","8,979","3,930","2,021","2,755"
"Greeley, CO",88.78224316093599,0.441187953876988,0.24271844660194172,2.0243889742054715,1.01121840755876,7.4982430568208445,"74,332","102,046",0.6459999999999999,0.051,"315,389","106,044","3,233","22,916","40,099","35,798","9,067","16,143","16,639","4,519","17,387","9,086","2,228","7,324","16,291","30,207","13,436","8,102","5,690"
"Green Bay, WI",90.48052574460388,0.5679488725431087,0.1742433377547329,1.8593994935487759,0.7807789702158446,6.137103581333655,"64,951","130,563",0.66,0.027000000000000003,"320,827","144,200","6,659","38,118","56,622","29,164","3,343","10,628","32,175","5,085","17,921","10,643","2,088","11,451","13,336","35,858","14,331","6,767","4,831"
"Greensboro-High Point, NC",90.439667187566,1.0758682828624122,0.1759795019076178,1.4568287085920233,0.9584547591896496,5.893201559882305,"52,233","303,556",0.586,0.057,"767,467","336,980","18,288","101,631","108,187","75,450","2,439","20,153","55,327","11,699","43,048","21,777","5,136","23,136","33,581","84,732","32,433","17,937","11,269"
"Greenville, NC",89.66552982708072,0.9716986776760606,0.17351762101358223,1.8368934362472327,0.9501585592054089,6.402201878777,"49,337","70,683",0.5770000000000001,0.081,"179,961","80,255","6,137","23,180","25,490","15,876","1,082","4,631","8,572","1,743","9,981","2,847","1,431","4,393","6,114","26,240","9,662","4,008","3,406"
"Greenville-Anderson, SC",90.75117769784852,0.3981515572044899,0.16756823095150433,1.4288141833526864,1.3160006419515327,5.938287688691268,"57,432","350,728",0.593,0.046,"908,680","390,288","20,609","104,939","136,853","88,327","2,154","29,493","76,164","13,015","45,967","19,459","6,631","22,816","46,707","96,654","39,701","21,940","11,451"
"Guayama, PR",94.54977711738485,0.5468053491827637,0.0,3.1025260029717683,0.0237741456166419,1.7771173848439823,"17,040","26,386",0.28300000000000003,0.122,"74,291","35,022","4,562","12,596","6,890","2,338",460,679,"2,069",189,"2,473",693,120,452,"1,395","4,230","1,320",816,"2,499"
"Gulfport-Biloxi, MS",92.43211509022973,0.16021332513977515,0.15746994628464203,2.452032020717997,1.446858008197216,3.351311609430639,"51,058","161,773",0.539,0.086,"414,662","189,521","8,800","57,409","56,766","38,798","2,162","13,378","18,681","2,835","18,965","9,547","2,104","8,642","13,063","40,951","27,701","8,333","11,491"
"Hagerstown-Martinsburg, MD-WV",90.19530051126964,1.0554761245312114,0.08982775527925203,1.4686837988157708,1.014305070028221,6.176406740075905,"64,118","109,554",0.588,0.057,"285,990","121,091","7,586","31,124","39,957","30,887","1,223","10,540","12,188","3,236","16,487","10,527","2,620","6,928","13,708","30,451","10,146","6,322","10,640"
"Hammond, LA",92.85947890548348,0.15807260438242668,0.2725389730731495,1.3772302772629819,0.9520694792688689,4.380609760529089,"48,745","48,548",0.536,0.071,"133,753","56,449","2,773","16,396","19,881","9,498",825,"4,131","4,327","1,467","7,906","3,103",714,"2,096","4,644","14,459","6,293","3,271","2,739"
"Hanford-Corcoran, CA",91.09794908062234,0.2634370579915134,0.5127298444130127,1.768033946251768,1.2093352192362092,5.148514851485149,"61,556","43,604",0.47,0.084,"151,090","46,267","2,287","12,085","18,278","10,954","8,271","2,096","4,013","1,412","5,489","2,992",467,"1,521","3,691","10,825","4,089","1,897","6,924"
"Harrisburg-Carlisle, PA",86.15246523565423,1.1858095551986985,0.34150754191707045,3.2103111435243297,1.4007419198754585,7.709164603830214,"67,219","233,447",0.621,0.039,"574,691","252,832","17,149","78,492","87,944","49,862","3,842","14,573","23,835","7,882","32,797","21,229","3,776","22,125","31,475","68,274","21,884","13,577","23,938"
"Harrisonburg, VA",87.55622655605535,0.728416006474809,0.8933991190524366,4.482560039844978,0.9898986754657659,5.349499603106663,"59,261","48,057",0.596,0.038,"134,696","54,100","2,744","13,170","17,419","14,724","2,328","4,327","9,259","1,625","7,908","2,507",759,"2,208","4,864","17,140","7,229","4,032","1,981"
"Hartford-East Hartford-Middletown, CT",86.33556240886145,2.629435409619586,0.17435562242966468,2.380095256896669,0.8916855095713108,7.5888657926213225,"78,631","477,495",0.618,0.055,"1,205,842","516,829","41,939","158,080","177,916","99,560","2,190","33,806","65,769","14,548","62,826","29,439","11,754","63,713","66,630","162,536","47,598","27,839","26,344"
"Hattiesburg, MS",91.13718808398373,0.3146641750027481,0.21710453995822798,1.304001319116192,5.361657689348136,1.665384192590964,"48,231","62,222",0.555,0.078,"168,646","72,186","4,039","20,756","23,473","13,954","1,753","4,723","7,887","1,739","8,989","4,064",912,"3,602","4,608","20,268","8,293","3,599","3,199"
"Hickory-Lenoir-Morganton, NC",92.77915814983905,0.2864102030574901,0.028151430215052446,0.7386690493384414,2.018335148896586,4.149276018653382,"49,706","145,451",0.555,0.062,"367,982","165,598","6,813","40,844","52,756","45,038","1,437","9,304","43,349","5,616","19,067","8,491","2,031","5,514","9,874","33,012","15,164","8,661","5,857"
"Hilton Head Island-Bluffton, SC",88.56905071521456,0.6262678803641093,0.25487646293888166,1.6291287386215867,1.3815344603381015,7.539141742522756,"67,723","84,955",0.502,0.05,"219,290","113,293","3,686","30,661","36,652","13,956","1,284","8,530","5,340",975,"13,673","3,405","1,691","5,376","11,080","19,459","12,835","4,361","3,697"
"Hinesville, GA",91.35101719680792,0.5507474429583006,0.3090929526806789,3.020681128470271,1.222322131055412,3.546139148027425,"50,588","30,059",0.48700000000000004,0.1,"81,275","35,606","1,509","10,926","10,833","6,791",255,"1,817","2,463",452,"4,052","2,369",280,"1,325","2,900","5,976","2,500","1,398","3,700"
"Homosassa Springs, FL",88.97163273212517,0.11622401101975809,0.30132151005122465,0.9190306056562353,2.0210064138435713,7.670784727304033,"45,689","64,621",0.368,0.079,"147,938","80,222","3,028","26,065","24,558","10,970",618,"4,830","1,795","1,007","7,522","2,824",579,"2,039","4,357","10,540","5,500","3,558","2,220"
"Hot Springs, AR",92.13225473148357,0.24948968019959175,0.020160782238350848,2.02615861495426,1.627983165746831,3.943953025377385,"48,150","40,906",0.499,0.063,"99,043","50,974","3,038","14,234","15,544","8,090",568,"3,329","3,083","1,013","6,189",975,665,"2,183","3,810","9,248","5,459","2,696","1,569"
"Houma-Thibodaux, LA",90.50970037883135,0.5774308345769716,0.28240156124440363,1.8172425668694754,3.3876707611066466,3.42555389737114,"53,267","77,019",0.542,0.067,"209,277","87,081","6,680","25,360","32,051","12,928","8,489","7,197","7,007","1,512","11,321","6,684",819,"3,350","6,956","20,775","7,497","3,682","3,379"
"Houston-The Woodlands-Sugar Land, TX",88.51657545948704,1.9290585921442116,0.25979146386377144,1.2418337609704586,1.353971982254715,6.698768741279794,"69,328","2,407,993",0.626,0.059000000000000004,"6,979,613","2,646,682","125,307","764,984","984,974","532,728","112,454","321,808","317,689","107,034","348,202","211,671","42,594","204,496","422,804","687,216","285,507","175,086","96,680"
"Huntington-Ashland, WV-KY-OH",92.93878714458775,0.4909855340981971,0.16674980403334996,1.9732060143946413,0.7268581201453717,3.7034133827406825,"48,085","141,577",0.49,0.054000000000000006,"359,481","167,999","10,999","48,005","52,077","30,496","1,372","8,748","13,496","3,653","19,204","8,181","2,407","6,290","11,374","42,803","12,420","5,669","7,332"
"Huntsville, AL",92.13902947976618,0.169460206146538,0.06985726583168456,0.7147975716713013,0.8829057017049681,6.023949774879327,"66,450","184,353",0.599,0.046,"464,607","200,378","7,501","59,343","69,989","47,520","1,740","13,258","29,143","3,712","25,182","8,724","4,269","8,279","39,343","45,180","18,042","8,049","19,397"
"Idaho Falls, ID",87.76016229619054,2.6057555037944247,0.37718836877301076,1.5853933428507025,1.2758283868059208,6.395672101585394,"61,877","50,737",0.627,0.038,"148,811","54,612","2,293","10,801","19,945","17,698","2,869","6,004","5,308","2,097","8,188","3,029",922,"3,004","8,777","15,473","6,477","2,668","2,748"
"Indianapolis-Carmel-Anderson, IN",89.05201881948692,0.7860916311871439,0.22980042397287523,1.5633752357879025,0.8845633890911105,7.48415050047405,"63,545","790,050",0.64,0.045,"2,050,933","868,045","46,048","258,328","317,727","167,947","5,717","64,191","126,660","31,136","111,814","68,131","15,175","70,671","119,975","234,330","90,162","47,522","39,960"
